Container_ID,Declaration_Date,Declaration_Time,Trade_Regime,Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours
10000001,2020-01-01,10:10:10,Import,BE,PORT_30,UG,440890,IMP001,EXP001,450000,120,119.8,LINE_MODE_10,40
10000002,2020-01-01,11:12:33,Import,BE,PORT_30,UG,620822,IMP002,EXP002,18000,35,35.1,LINE_MODE_40,25
10000003,2020-01-01,13:45:21,Import,BE,PORT_20,UG,690722,IMP003,EXP003,920000,8500,8490,LINE_MODE_40,30
10000004,2020-01-02,09:05:17,Import,BE,PORT_40,UG,940350,IMP004,EXP004,1200000,9100,9050,LINE_MODE_10,20
10000005,2020-01-02,15:23:50,Import,BE,PORT_20,UG,851712,IMP005,EXP005,55000,6.5,6.4,LINE_MODE_10,50

# Edge Case 1: Weight mismatch (possible fraud)
10000006,2020-01-03,08:22:10,Import,BE,PORT_30,UG,440890,IMP006,EXP006,450000,100,300,LINE_MODE_10,45

# Edge Case 2: Extremely high value
10000007,2020-01-03,10:11:55,Import,BE,PORT_30,UG,620822,IMP007,EXP007,999999999,200,200,LINE_MODE_40,30

# Edge Case 3: Very low declared value
10000008,2020-01-03,12:30:11,Import,BE,PORT_30,UG,690722,IMP008,EXP008,1,5000,5000,LINE_MODE_40,35

# Edge Case 4: Negative value
10000009,2020-01-03,14:00:44,Import,BE,PORT_40,UG,940350,IMP009,EXP009,-5000,100,100,LINE_MODE_10,20

# Edge Case 5: Zero weight
10000010,2020-01-04,09:11:21,Import,BE,PORT_20,UG,851712,IMP010,EXP010,20000,0,0,LINE_MODE_10,40

# Edge Case 6: Extremely high dwell time
10000011,2020-01-04,11:15:33,Import,BE,PORT_20,UG,071080,IMP011,EXP011,350000,1000,1000,LINE_MODE_40,999

# Edge Case 7: Very small dwell time
10000012,2020-01-04,13:45:55,Import,BE,PORT_30,UG,440890,IMP012,EXP012,500000,200,200,LINE_MODE_10,0.1

# Edge Case 8: Weight difference suspicious
10000013,2020-01-05,08:25:15,Import,BE,PORT_40,UG,620822,IMP013,EXP013,120000,1000,1500,LINE_MODE_40,33

# Edge Case 9: Extremely heavy cargo
10000014,2020-01-05,10:05:11,Import,BE,PORT_30,UG,690722,IMP014,EXP014,500000,1000000,1000000,LINE_MODE_40,60

# Edge Case 10: Duplicate container ID
10000001,2020-01-05,11:55:33,Import,BE,PORT_20,UG,940350,IMP015,EXP015,750000,9000,8900,LINE_MODE_10,28
